Symbol,Current_Price,Buy_Signal_Strength,Sell_Signal_Strength,RSI,Z_Score,BB_Position,Volume_Ratio,Price_Change_5d,Price_Change_20d,Price_vs_SMA50,Price_vs_SMA200
TMUS,221.42999267578125,0.7000000000000001,0.09999999999999999,28.137314240202585,-2.5266762884780234,-0.13166907211950546,2.780289961043529,-6.561736573595001,-9.008280755119792,-9.38806253138793,-5.275431343062287
ADBE,382.67999267578125,0.5499999999999999,0.06666666666666667,32.4295408793368,-3.061389014864497,-0.2653472537161236,1.8882979374837918,-8.02288253585628,-9.032994357135182,-1.0744613146873472,-15.174120874756037
LULU,235.1999969482422,0.45,0.0,17.684333835430053,-1.5454969913192762,0.11362575217018092,0.906517756763532,-9.013540832401478,-27.340133432613666,-16.870955737532523,-26.375852236614705
CHTR,373.6199951171875,0.4166666666666667,0.0,27.33011025834601,-1.9803011007942035,0.004924724801448561,1.0668596768688177,-8.149567271879087,-10.751740018784538,-2.2588106551501896,3.0948450119863358
ADP,307.6199951171875,0.4000000000000001,0.03333333333333333,17.700621099943277,-1.6075007669396377,0.09812480826509068,1.4827763951559827,-1.7051178499048913,-4.273885109577858,0.40755512860863874,4.183498627239657
ISRG,512.1099853515625,0.3833333333333333,0.0,25.402797697766687,-1.6544457158260928,0.08638857104347689,0.9162702994493422,-3.3024907554092042,-8.81719621471838,-2.5613651251677916,-2.8470448013234284
KO,69.62000274658203,0.3833333333333333,0.0,42.129226022834835,-2.664318002975979,-0.16607950074399702,0.9158511804740704,-3.0891419067959114,-2.523284589810826,-1.8959347291798934,3.730896364350622
CPRT,48.0,0.3166666666666667,0.0,12.007497707960113,-1.0147792093813928,0.24630519765465175,1.1719003951656581,-4.534603887531674,-24.32602905713169,-16.02901189566842,-14.52877319175101
COST,977.719970703125,0.3166666666666667,0.0,38.495508204495046,-1.709735096462335,0.0725662258844158,0.7904427007442749,-2.9336769937694185,-5.474021790532224,-2.017406376825015,2.396791664475617
DXCM,81.83000183105469,0.3166666666666667,0.0,31.245446952938366,-1.8990095960816258,0.025247600979594068,1.0023200145048492,-3.525109496023715,-5.899260933104089,4.08372697683328,6.658918033220962
MAR,256.20001220703125,0.3166666666666667,0.0,38.87852622555131,-1.6485658171483046,0.08785854571292313,0.9269622081106461,-4.417249649470268,-5.977466610325166,2.6717443654149076,-1.9804648506833833
CDW,170.8000030517578,0.3166666666666667,0.0,31.000036528565573,-1.6379928025821526,0.0905017993544619,0.954581948303685,-4.436856076396911,-8.85763002865555,0.6612384290172413,-7.880545627159785
MRNA,25.549999237060547,0.2833333333333333,0.0,47.20357898878078,-1.7404079848877692,0.06489800377805771,0.6620333644214297,-7.695090479160704,-3.1830245244999222,-2.7825893774923505,-37.384512367039314
ODFL,156.6699981689453,0.2833333333333333,0.0,40.40120891777274,-1.8743233985498755,0.03141915036253139,0.8300112546422643,-6.682947919168858,-8.548720945529553,-1.5007447177911248,-14.630979780944099
BKNG,5301.0498046875,0.26666666666666666,0.0,38.73147725178115,-1.352131579510911,0.16196710512227291,1.004973985362557,-3.40617452043408,-1.2606725339133207,3.957748486912549,11.363866065734939
