Symbol,Current_Price,RSI,MR_Buy_Signal,MR_Sell_Signal,Mom_Buy_Signal,Mom_Sell_Signal,Combined_Buy_Signal,Combined_Sell_Signal,Strategy_Type,Confidence_Score,Signal_Strength
ORCL,211.10000610351562,88.66531502054336,0.0,0.6666666666666666,0.9,0.0,0.7200000000000001,0.5333333333333333,MOMENTUM,0.75,0.7200000000000001
CPRT,48.38999938964844,11.208397412686168,0.3333333333333333,0.0,0.0,0.7999999999999999,0.09999999999999999,0.64,MOMENTUM,0.75,0.64
LRCX,93.41000366210938,72.99657326135997,0.0,0.55,0.8,0.0,0.6400000000000001,0.165,MOMENTUM,0.75,0.6400000000000001
ADP,307.9100036621094,16.77588745809443,0.4166666666666667,0.0,0.0,0.0,0.125,0.0,WEAK,0.3,0.125
ISRG,519.0399780273438,29.827684611772597,0.2833333333333333,0.0,0.0,0.0,0.08499999999999999,0.0,WEAK,0.3,0.08499999999999999
ORLY,88.12000274658203,39.482351223873515,0.39999999999999997,0.0,0.0,0.8,0.11999999999999998,0.6400000000000001,MOMENTUM,0.75,0.6400000000000001
DXCM,83.0,41.80154563621389,0.2333333333333333,0.0,0.0,0.0,0.06999999999999999,0.0,WEAK,0.3,0.06999999999999999
COST,984.3599853515625,38.99967423818531,0.3166666666666667,0.0,0.0,0.8999999999999999,0.09500000000000001,0.72,MOMENTUM,0.75,0.72
CHTR,375.2300109863281,26.566585485665698,0.48333333333333334,0.0,0.0,0.7,0.145,0.5599999999999999,MOMENTUM,0.6,0.5599999999999999
AAPL,198.4199981689453,46.04854519364858,0.0,0.0,0.0,0.7,0.0,0.5599999999999999,MOMENTUM,0.6,0.5599999999999999
AMD,126.38999938964844,64.87303198132264,0.0,0.5666666666666667,1.0,0.0,0.8,0.16999999999999998,MOMENTUM,0.75,0.8
KO,70.5199966430664,43.97795393162205,0.0,0.0,0.0,0.8,0.0,0.6400000000000001,MOMENTUM,0.75,0.6400000000000001
HIMS,59.779998779296875,63.53287908632537,0.0,0.0,0.8,0.0,0.6400000000000001,0.0,MOMENTUM,0.75,0.6400000000000001
CRM,263.8800048828125,37.82251453563045,0.0,0.0,0.0,0.7,0.0,0.5599999999999999,MOMENTUM,0.6,0.5599999999999999
F,10.619999885559082,57.27698563577865,0.0,0.0,0.7,0.0,0.5599999999999999,0.0,MOMENTUM,0.6,0.5599999999999999
LCID,2.1500000953674316,21.839083924698116,0.23333333333333336,0.0,0.0,0.7,0.07,0.5599999999999999,MOMENTUM,0.6,0.5599999999999999
DIS,119.4800033569336,74.92997041740998,0.0,0.3833333333333333,0.0,0.0,0.0,0.11499999999999999,WEAK,0.3,0.11499999999999999
AMAT,176.5500030517578,70.63935377421464,0.0,0.4333333333333333,0.7,0.0,0.5599999999999999,0.12999999999999998,MOMENTUM,0.6,0.5599999999999999
MSFT,479.1400146484375,75.21180468097103,0.0,0.3333333333333333,0.0,0.0,0.0,0.09999999999999999,WEAK,0.3,0.09999999999999999
NXPI,217.52999877929688,66.61908902472821,0.0,0.0,0.7,0.0,0.5599999999999999,0.0,MOMENTUM,0.6,0.5599999999999999
KLAC,892.3800048828125,78.33168589091935,0.0,0.45,0.8,0.0,0.6400000000000001,0.135,MOMENTUM,0.75,0.6400000000000001
ON,53.880001068115234,72.92213694498108,0.0,0.3833333333333333,0.7,0.0,0.5599999999999999,0.11499999999999999,MOMENTUM,0.6,0.5599999999999999
SBUX,93.4800033569336,66.94603795271777,0.0,0.0,0.7,0.0,0.5599999999999999,0.0,MOMENTUM,0.6,0.5599999999999999
CSGP,81.94000244140625,79.48510519719179,0.0,0.4333333333333333,0.0,0.0,0.0,0.12999999999999998,WEAK,0.3,0.12999999999999998
LULU,241.2899932861328,17.77561293296776,0.45,0.0,0.0,0.8,0.135,0.6400000000000001,MOMENTUM,0.75,0.6400000000000001
CDW,172.35000610351562,30.239467481189266,0.3,0.0,0.0,0.7,0.09,0.5599999999999999,MOMENTUM,0.6,0.5599999999999999
FANG,151.02999877929688,66.96740623973426,0.0,0.4666666666666666,0.9,0.0,0.7200000000000001,0.13999999999999999,MOMENTUM,0.75,0.7200000000000001
PLTR,141.41000366210938,68.08511355119735,0.0,0.45,0.8,0.0,0.6400000000000001,0.135,MOMENTUM,0.75,0.6400000000000001
WBD,10.760000228881836,66.85236302624409,0.0,0.5,0.8,0.0,0.6400000000000001,0.15,MOMENTUM,0.75,0.6400000000000001
DASH,221.72999572753906,71.58975578875872,0.0,0.3333333333333333,0.0,0.0,0.0,0.09999999999999999,WEAK,0.3,0.09999999999999999
SOFI,14.899999618530273,66.44879671836247,0.0,0.35000000000000003,0.8,0.0,0.6400000000000001,0.10500000000000001,MOMENTUM,0.75,0.6400000000000001
MRNA,26.0,45.86956345967377,0.2333333333333333,0.0,0.0,1.0,0.06999999999999999,0.8,MOMENTUM,0.75,0.8
TMUS,230.99000549316406,34.13952778171462,0.3666666666666667,0.0,0.0,0.7,0.11,0.5599999999999999,MOMENTUM,0.6,0.5599999999999999
ADBE,401.7300109863281,41.374609906748034,0.3166666666666667,0.0,0.0,0.7999999999999999,0.09500000000000001,0.64,MOMENTUM,0.75,0.64
MAR,257.9100036621094,39.024395231376396,0.3333333333333333,0.0,0.0,0.9999999999999999,0.09999999999999999,0.7999999999999999,MOMENTUM,0.75,0.7999999999999999
